count,Prod_Name,Prod_des,Prod_Price,Prod_Cat,Prod_Sub
39,Chili Garlic Sauce,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",2.49,Food - Condiments,Spicy Sauces
40,Herb Garlic Butter,"A flavorful garlic butter blend, perfect for cooking or baking.",3.99,Food - Condiments,Herbal Butters
41,Garlic and Herb Rub,A seasoning blend of garlic and herbs to enhance any dish.,2.29,Food - Spices,Herb Blends
42,Savory Trail Mix,"A blend of nuts, seeds, and spices for a healthy snack.",4.29,Food - Snacks,Nuts and Trail Mix
43,Trackpad for Laptop,Wireless trackpad for enhanced laptop navigation.,49.99,Accessories,Tech Accessories
44,Wireless Security System,Comprehensive camera and alert system for home security.,299.99,Home Security,Smart Security
45,Honey BBQ Riblets,"Tender riblets coated in a honey barbecue glaze, perfect for grilling or baking.",12.99,Food - Meat,Barbecue & Grilled Meats
46,Personal Blender with Travel Cup,Blender for smoothies with a portable cup.,39.99,Kitchen,Small Appliances
47,Travel Luggage Scale,Digital scale to avoid overweight baggage fees.,14.99,Travel,Travel Accessories
48,Savory Oats,"Instant oats with a savory twist, such as herbs and spices.",2.49,Food - Breakfast,Savory Breakfast Options
49,LED Table Lamp,Modern LED table lamp with touch control.,29.99,Home,Lighting & Lamps
50,Ergonomic Gaming Chair,Comfortable gaming chair for long hours of play.,199.99,Gaming,Gaming Accessories
51,Buffalo Style Cauliflower Bites,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer.",5.49,Food - Frozen Vegetables,Frozen Veggie Snacks
52,Non-Stick Grill Mat,Reusable mat that prevents food from sticking to the grill.,19.99,Outdoor,Grilling Accessories
53,Wireless Wi-Fi Extender,Boosts your Wi-Fi coverage for better connectivity.,49.99,Electronics,Networking Equipment
54,Egg Noodles,"Wide egg noodles, perfect for casseroles and soups.",2.29,Food - Grains,Pasta
55,Spaghetti and Meatball Dinner Kit,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",7.99,Food - Meal Kits,Italian Cuisine Meal Kits
56,Portable Massage Gun,Personal massager for muscle recovery.,79.99,Health,Massage Therapy
57,Greek Yogurt,Creamy Greek yogurt packed with protein and probiotics.,1.99,Food - Dairy,Yogurt
58,Ethically-Sourced Coffee Beans,Freshly roasted coffee beans with rich flavor.,9.99,Food - Beverages,Coffee
59,Maple Glazed Carrots,Tender carrots glazed with a sweet maple sauce.,3.29,Food - Prepared Foods,Vegetable Sides
60,Electric Hot Pot,Compact electric pot for hot pot dining at home.,49.99,Kitchen,Cookware
61,Active Racerback Tank,Lightweight and moisture-wicking racerback tank for workouts.,24.99,Clothing - Tops,Activewear
62,Folding Exercise Bike,Space-saving bike for indoor workouts.,199.99,Fitness,Bikes & Cycling Equipment
63,Vegan Chocolate Cake Mix,Plant-based mix for a rich chocolate cake.,4.29,Food - Baking,Mixes
64,Wireless Keyboard and Mouse Combo,Compact wireless set for easy computer usability.,34.99,Electronics,Computer Accessories
65,Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,39.99,Health,Medical Devices
66,Bluetooth Shower Speaker,Water-resistant Bluetooth speaker for showers.,24.99,Audio,Portable Speakers
67,Chocolate Chip Pancake Mix,Easy-to-make pancake mix with chocolate chips included.,3.99,Food - Bakery,Baking Mixes
68,Educational STEM Kit,Hands-on experience with science and engineering projects.,35.99,Toys,STEM Learning Toys
69,Sweet Corn,"Tender sweet corn kernels, ready to eat or add to dishes.",1.5,Food - Canned Goods,Canned Vegetables
70,Digital Food Thermometer,Instant-read thermometer for accurate cooking temperatures.,19.99,Kitchen,Cooking Tools & Utensils
71,Ergonomic Gaming Chair,Comfortable gaming chair for long hours of play.,199.99,Gaming,Gaming Accessories
72,Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,2.49,Food - Bakery,Desserts
73,Cauliflower Pizza Crust,Healthy pizza crust made from cauliflower,5.99,Food - Frozen Foods,Frozen Pizza Crusts
74,Herb Garlic Butter,"A flavorful garlic butter blend, perfect for cooking or baking.",3.99,Food - Condiments,Herbal Butters
75,Noise Reduction Headphones,Passive noise reduction headphones for focus.,39.99,Audio,Headphones & Earbuds
76,Cheddar & Bacon Potato Skins,Gourmet potato skins loaded with cheddar cheese and bacon.,7.49,Food - Frozen,Frozen Appetizers
77,Smart LED Light Strip,"Customizable RGB LED light strip, perfect for mood lighting.",29.99,Home,Smart Home & Security
78,Vacuum Sealer Machine,Seal food and maintain freshness longer.,89.99,Kitchen,Food Storage Solutions
79,Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",4.49,Food - Snacks,Salsas and Dips
80,Photo Album,Classic leather photo album for keepsakes.,24.99,Home,Home Organization
81,Zucchini Noodle Pasta,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta.",3.99,Food - Vegetables,Pasta Alternatives
82,Home Cleaning Robot,Automated cleaning robot for hassle-free home maintenance.,249.99,Home Appliances,Robotic Cleaners
83,Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,5.99,Food - Prepared Meals,Healthy Snacks
84,Adjustable Stand for Tablets and Smartphones,Multi-angle stand for easy viewing of devices.,19.99,Electronics,Mobile Accessories
85,Black Olives,"Sliced black olives, perfect for salads and pizzas.",1.99,Food - Canned Goods,Canned Vegetables
86,Sliced Cucumbers,"Freshly sliced cucumbers, great for salads or snacking.",1.29,Food - Produce,Fresh Cut Vegetables
87,Granola Cereal,"Crunchy granola with oats, nuts, and honey.",4.49,Food - Breakfast,Granola/Cereal
88,Almond Quinoa Salad,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal.",5.99,Food - Salads,Grain Salads
89,Kids' STEM Robotics Kit,Educational robotics kit for building and programming.,59.99,Toys,Educational Toys
90,Spicy Italian Sausage,"Savory sausage with a blend of spices, perfect for pasta dishes.",4.99,Food - Meat & Seafood,Meat Products
91,Coconut Bowls Set,Handmade eco-friendly bowls made from real coconuts.,22.99,Kitchen,Dinnerware
92,Garlic and Herb Cream Cheese,Spreadable cream cheese with garlic and herbs.,3.49,Food - Dairy,Cheese Spreads
93,Trail Mix (Deluxe),"A delightful mix of nuts, fruit, and chocolate.",4.59,Food - Snacks,Nuts and Trail Mix
94,Baking Powder,Essential ingredient for baking fluffy cakes and pastries.,1.79,Food - Baking Goods,Baking Ingredients
95,Apple Juice,"Refreshing apple juice, 100% juice with no added sugar.",3.29,Food - Beverages,Juice
96,Pear and Gorgonzola Salad,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",5.49,Food - Salads,Gourmet Salads
97,Foot Spa Bath Massager,Relax and soothe tired feet with this foot spa.,59.99,Health,Personal Care & Grooming
98,Almond Coconut Granola,Crunchy granola with almonds and coconut.,3.99,Food - Breakfast Foods,Granola and Muesli
99,Blue Corn Tortilla Chips,"Crunchy chips made from blue corn, perfect for dipping.",3.49,Food - Snacks,Tortilla Chips
100,Spicy Thai Coconut Soup,"A ready-to-eat soup with coconut milk, spices, and vegetables.",3.99,Food - Soups,Specialty Soups
101,Luxury Rolling Makeup Case,Stylish and spacious case for makeup and beauty products.,99.99,Beauty,Makeup
102,Cinnamon Sugar Popcorn,Sweet popcorn coated in a mixture of cinnamon and sugar.,2.89,Food - Snacks,Savory Snacks
103,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,29.99,Kitchen,Cookware
104,Ethically-Sourced Coffee Beans,Freshly roasted coffee beans with rich flavor.,9.99,Food - Beverages,Coffee
105,Cinnamon Roll Protein Bar,Soft and chewy bar packed with protein and cinnamon flavors.,2.99,Food - Snacks,Protein Snacks
106,Vegetable Spiralizer,Create spiraled vegetable noodles easily for healthy meals.,19.99,Kitchen,Food Preparation Tools
107,Insulated Lunch Bag,Stylish insulated lunch bag for on-the-go meals.,24.99,Kitchen,Food Storage Solutions
108,Almond Butter,Creamy almond butter made from roasted almonds.,6.49,Food - Condiments,Nut Butters
109,Paprika,Rich and sweet paprika spice for seasoning.,1.79,Food - Spices,Dried Spices
110,Memory Foam Mattress Topper,3-inch memory foam mattress topper for added comfort.,109.99,Home,Bedding & Linens
111,Sliced Avocado,"Ready-to-eat avocado slices, perfect for tacos.",2.79,Food - Produce,Fresh Cut Fruits
112,Crafting Kit,Complete crafting kit for kids and adults.,29.99,Art Supplies,Craft Kits
113,Butternut Squash Ravioli,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",6.29,Food - Frozen Foods,Frozen Pasta Dishes
114,Peach Green Tea,"Refreshing green tea infused with peach, perfect for a hot day.",3.49,Food - Beverages,Tea
115,Rechargeable Hand Warmer,Portable rechargeable warmer for cold days.,22.99,Accessories,Personal Care
116,Almond Joy Snack Bars,Chewy snack bars with coconut and almonds coated in chocolate.,2.99,Food - Snacks,Healthy Snacks
117,Smart Home Security Camera,Wi-Fi camera with motion detection for home security.,79.99,Smart Home,Home Security
118,Golf Polo Shirt,Breathable polo shirt designed for both style and comfort on the greens.,39.99,Clothing - Tops,Activewear
119,Pumpkin Puree,"Canned pumpkin puree, perfect for pies and soups.",2.99,Food - Canned Goods,Vegetable Purees
120,Barbecue Chicken Pizza,"Pizza topped with barbecue chicken, cheese, and red onions.",8.99,Food - Frozen Foods,Frozen Pizza
121,Kitchen Knife Sharpening System,Professional sharpening system for kitchen knives.,39.99,Kitchen,Kitchen Gadgets
122,Air Mattress,Inflatable air mattress for convenient sleeping.,49.99,Outdoor,Camping Equipment
123,Maple Cinnamon Granola Bars,Chewy granola bars with maple and cinnamon flavor.,3.49,Food - Snacks,Healthy Snacks
124,Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,19.99,Kitchen,Beverage Appliances
125,Pet Training Clicker,Simple tool to train your pet with positive reinforcement.,5.99,Pets,Training Supplies
126,Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,29.99,Health,Emergency Preparedness & First Aid
127,Coconut Curry Lentil Soup,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",3.99,Food - Canned Goods,Soups & Broths
128,Adjustable Laptop Stand,Ergonomic stand for laptops to improve posture while working.,29.99,Office,Laptop Accessories
129,Teriyaki Chicken Bowl,Ready-to-eat chicken bowl with teriyaki sauce and rice.,6.49,Food - Prepared Meals,Cuisine - Asian
130,Vegetable Lentil Soup,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",3.49,Food - Canned Goods,Soups & Broths
131,Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",1.99,Food - Produce,Herbs
132,Plant Pot Drip Trays,Prevent water damage with drip trays for potted plants.,9.99,Garden,Gardening Accessories
133,Steak Seasoning Rub,A blend of spices perfect for seasoning steak.,2.49,Food - Spices,Rubs and Seasonings
134,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",5.49,Food - Meat,Processed Meats
135,Car Sunshade,Windshield sunshade for car interior protection.,19.99,Automotive,Automotive Accessories
136,Glass Tea Pot,Elegant glass teapot for brewing loose tea.,34.99,Kitchen,Coffee Equipment
137,Portable Pet Pooper Scooper,Compact scooper for easy waste clean-up during walks.,12.99,Pets,Pet Waste Management
138,Lockable Bicycle Chain,Heavy-duty chain lock for securing bicycles.,19.99,Outdoor,Cycling Accessories
139,Smartphone Tripod with Bluetooth Remote,Tripod with wireless remote for effortless photo-taking.,29.99,Photography,Smartphone Accessories
140,Two-Tier Fruit Basket,Stylish fruit basket for kitchen or dining room.,29.99,Home,Kitchen Accessories
141,Cucumber,"Fresh and crunchy cucumbers, great for salads.",0.99,Food - Produce,Fruits & Vegetables
142,Luxury Bath Robe,Soft and plush robe for comfort after the shower.,49.99,Clothing,Loungewear
143,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,8.99,Food - Meat,Prepared Meals
144,Electric Stir Fry Pan,Large stir fry pan with non-stick surface.,49.99,Kitchen,Cooking Appliances
145,Adjustable Kitchen Broom Stand,Space-saving broom holder for organized cleaning supplies.,14.99,Home,Kitchen Accessories
146,Organic Quinoa Salad,A refreshing salad made with quinoa and seasonal veggies.,5.99,Food - Prepared Meals,Healthy Meals
147,Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,59.99,Kitchen,Cooking Appliances
148,Electric Nail File Kit,Professional-grade nail care set for manicures and pedicures.,34.99,Beauty,Nail Care
149,Folding Exercise Bike,Space-saving bike for indoor workouts.,199.99,Fitness,Bikes & Cycling Equipment
150,Cranberry Pecan Granola,Crunchy granola with cranberries and pecans.,3.99,Food - Breakfast Foods,Granola and Muesli
151,Asian Noodle Salad Kit,A pre-packaged salad kit with noodles and Asian-style dressing.,4.99,Food - Salads,Noodle Salads
152,Kettle Corn Popcorn,"Sweet and salty kettle corn, perfect for snacking.",2.99,Food - Snacks,Savory Snacks
153,Portable Hand Warmer,Rechargeable hand warmer for cold weather comfort.,24.99,Accessories,Tech Accessories
154,Solar Garden Lights,Energy-efficient lights that charge during the day and illuminate at night.,39.99,Outdoor,Outdoor Accessories
155,Telescope,Beginner telescope for stargazing and exploring.,159.99,Outdoor,Outdoor Accessories
156,Linen Trousers,Breathable linen trousers perfect for hot weather.,44.99,Clothing - Bottoms,Trousers
157,Applewood Smoked Bacon,Delicious bacon with a rich applewood smoked flavor.,6.99,Food - Meat,Pork
158,Sweet and Spicy Barbecue Sauce,A flavorful barbecue sauce with a sweet and spicy kick.,3.99,Food - Condiments,BBQ Sauces
159,Lemon Zest Olive Oil,High-quality olive oil infused with fresh lemon zest.,8.99,Food - Oils & Vinegars,Oils
160,Shredded Cheese,"Blend of cheddar and mozzarella cheese, great for recipes.",4.29,Food - Dairy,Cheese
161,Herbal Tea Sampler Box,Assorted collection of herbal teas for relaxation and wellness.,29.99,Food,Beverages
162,Electric Nail File Kit,Professional-grade nail care set for manicures and pedicures.,34.99,Beauty,Nail Care
163,Sweet BBQ Dipping Sauce,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,3.49,Food - Condiments,Marinades and Sauces
164,Adjustable Resistance Bands,Set of resistance bands for versatile strength training workouts.,39.99,Fitness,Strength Training Equipment
165,Ginger Turmeric Shots,Ready-to-drink shots made with fresh ginger and turmeric.,3.99,Food - Beverages,Health Drinks
166,Baking Powder,Essential ingredient for baking fluffy cakes and pastries.,1.79,Food - Baking Goods,Baking Ingredients
167,Blender Bottle,Portable mixer bottle for smoothies and protein shakes.,12.99,Fitness,Hydration Gear
168,Jennifer's Amazing Lip Balm Kit,DIY kit to make your own lip balms in various flavors.,22.99,Beauty,Lip Care
169,Wireless Earbuds Case,Protective case for wireless earbuds.,12.99,Accessories,Mobile Accessories
170,Honey Roasted Chickpeas,Crispy chickpeas roasted with honey for a sweet and satisfying snack.,3.29,Food - Snacks,Savory Snacks
171,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,129.99,Clothing - Coats,Outerwear - Faux Fur
172,Trail Mix (Deluxe),"A delightful mix of nuts, fruit, and chocolate.",4.59,Food - Snacks,Nuts and Trail Mix
173,Smart LED Light Strip,"Customizable RGB LED light strip, perfect for mood lighting.",29.99,Home,Smart Home & Security
174,Wooden Children's Play Kitchen,Interactive kitchen set for imaginative play.,129.99,Toys,Pretend Play Toys
175,Chili Beans in Sauce,Canned beans cooked in a savory chili sauce,1.79,Food - Canned Goods,Canned Legumes
176,Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,15.99,Fitness,Yoga Equipment
177,Mixed Nuts,"A blend of assorted nuts, perfect for snacking or adding to recipes.",5.99,Food - Snacks,Nuts and Trail Mix
178,Adjustable Skipping Rope,Durable skipping rope with adjustable length for workouts.,12.99,Fitness,Cardio Equipment
179,Ribbed Knit Dress,A fitted ribbed knit dress that hugs your curves perfectly.,59.99,Clothing - Dresses,Casual Dresses
180,Pine Nuts,Nutty flavor perfect for pesto and salads.,7.99,Food - Nuts,Seeds & Nuts
181,Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,5.99,Food - Frozen Desserts,Ice Cream
182,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,29.99,Kitchen,Cookware
183,Dog Training Whistle,High-frequency whistle for training your dog effectively.,8.99,Pets,Training Supplies
184,Hiking Boots,Comfortable hiking boots for outdoor adventures.,79.99,Footwear,Outdoor Footwear
185,Toy Building Set,Creative building set for kids to spark imagination.,29.99,Toys,Building Toys
186,Dishwasher Safe Cutting Board,Eco-friendly cutting board that is safe for dishwashers.,22.99,Kitchen,Cutting Boards & Utensils
187,Rustic Italian Breads,Freshly baked artisan bread with a crisp crust and soft center.,3.99,Food - Bakery,Artisan Bread
188,Almond Butter Cups,"Rich chocolate cups filled with almond butter, a delicious treat.",3.29,Food - Snacks,Nut-Based Snacks
189,Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,3.29,Food - Snacks,Sweet Snacks
190,Whole Grain Hamburger Buns,Soft hamburger buns made with whole grains.,2.69,Food - Bakery,Breads
191,Mini Air Purifier,Battery-operated air purifier for small spaces.,49.99,Health,Health Devices
192,Vegetable Korma,Creamy vegetable curry enriched with spices.,6.49,Food - Frozen,Frozen Meals
193,Vegetable Korma,Creamy vegetable curry enriched with spices.,6.49,Food - Frozen,Frozen Meals
194,Wireless Induction Charger,Qi-certified charger for fast wireless charging of smartphones.,19.99,Electronics,Mobile Accessories
195,Asian Stir-Fry Vegetables,Frozen mix of colorful stir-fry veggies.,2.99,Food - Frozen Foods,Frozen Vegetables
196,Air Purifier,HEPA air purifier for clean indoor air.,129.99,Home,Air Quality & Purification
197,Educational STEM Kit,Hands-on experience with science and engineering projects.,35.99,Toys,STEM Learning Toys
198,Wall-Mounted Spice Rack,Space-saving rack to store and organize spices conveniently.,39.99,Kitchen,Kitchen Storage & Organization
199,Savory Rice Cakes,"Lightly salted rice cakes, perfect for a healthy snack.",2.5,Food - Snacks,Savory Snacks
200,Poppy Seed Dressing,"A light and tangy dressing with poppy seeds, perfect for salads.",3.49,Food - Condiments,Dressing
201,Savory Snack Mix,"A mix of nuts, pretzels, and crackers, seasoned just right for snacking.",4.49,Food - Snacks,Savory Snacks
202,Caraway Rye Bread,Artisan bread with caraway seeds for added flavor.,4.79,Food - Bakery,Breads
203,Raspberry Limeade,Sweet and tangy raspberry lime beverage,1.99,Food - Beverages,Juice
204,Mini Fondue Set,Complete fondue set for chocolate and cheese parties.,34.99,Kitchen,Cooking Accessories
205,Cotton Sweatpants,Soft and breathable cotton sweatpants perfect for lounging or workouts.,29.99,Clothing - Bottoms,Bottoms
206,Body Pillow Case,Soft and breathable pillowcase for body pillows.,14.99,Home,Bedding & Linens
207,Pet Grooming Scissors,Quality scissors designed for easy pet grooming.,16.99,Pets,Grooming Supplies
208,Honey Sesame Chicken,A delicious chicken dish featuring honey and sesame flavors.,8.99,Food - Frozen Food,Frozen Meals
209,Thai Peanut Noodles,Noodles tossed in a spicy Thai peanut sauce.,4.99,Food - Pasta,Noodles
210,Blueberry Oatmeal Cups,Instant oatmeal cups with blueberries for an easy breakfast.,3.29,Food - Breakfast,Healthy Breakfast Options
211,Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,4.49,Food - Breakfast,Pancakes & Waffles
212,Backpack,Durable and spacious backpack for travel and school.,49.99,Accessories,Bags
213,Wireless Range Extender,Boost your Wi-Fi signal for better coverage.,49.99,Electronics,Networking Equipment
214,Classic Leather Wallet,A sleek leather wallet that combines style and functionality.,34.99,Clothing - Accessories,Wallets
215,Teriyaki Chicken Wings,Flavorful chicken wings marinated in a sweet teriyaki glaze.,10.99,Food - Frozen Food,Frozen Meals
216,Tea Set with Infuser,Elegant tea set that includes an infuser for brewing.,34.99,Kitchen,Coffee Equipment
217,Chicken Breasts,Juicy and tender boneless chicken breasts.,9.99,Food - Meat,Poultry
218,Frozen Mixed Vegetables,"A mix of carrots, peas, and corn, easy to stir-fry.",1.99,Food - Frozen,Frozen Vegetables
219,Sliced Turkey Breast,"Oven-roasted sliced turkey, perfect for sandwiches.",5.49,Food - Deli Meats,Deli Meats
220,Compact Electric Kettle,Quick-boiling kettle for home and office use.,29.99,Kitchen,Small Appliances
221,Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,199.99,Home Improvement,Outdoor Cleaning
222,Almond Milk,"Deliciously creamy almond milk, perfect for smoothies.",3.29,Food - Dairy,Dairy Alternatives
223,Pet First Aid Kit,Essential kit for taking care of your pets' health emergencies.,29.99,Pets,Pet Health and Care
224,Tuna Fish (canned),"Wild-caught tuna in olive oil, perfect for salads.",2.29,Food - Canned Goods,Seafood
225,Beard Grooming Kit,Everything you need for maintaining a healthy beard.,34.99,Grooming,Grooming
226,Garlic Parmesan Wings,Frozen chicken wings with garlic parmesan sauce.,8.99,Food - Frozen Foods,Frozen Chicken Wings
227,Crew Neck Sweater,"A comfortable crew neck sweater, great for all seasons.",39.99,Clothing - Sweaters,Sweaters
228,Smartwatch,Stylish smartwatch with fitness tracking features.,199.99,Wearable Tech,Fitness Monitors
229,Portable Water Filter,Lightweight water filter for outdoor adventures.,29.99,Outdoor,Camping Equipment
230,Cat Scratching Post with Toys,Multi-level scratching post to keep your cat entertained.,44.99,Pets,Cat Furniture
231,Organic Coconut Yogurt,Dairy-free yogurt made from coconut milk.,4.49,Food - Dairy,Dairy Alternatives
232,Fashionable Belt Bag,Trendy belt bag for hands-free carrying.,34.99,Accessories,Bags
233,Electric Razor,Rechargeable electric razor for a smooth shave.,59.99,Health,Personal Care & Grooming
234,Black Bean Soup,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",3.49,Food - Soups,Vegetarian Soups
235,Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,19.99,Kitchen,Beverage Appliances
236,Mini Hand Gesture Drone,Toy drone that flies with gestures and is easy to control.,29.99,Toys,Remote Control Drones
237,Dog Waste Bag Dispenser,Convenient dispenser for dog waste bags on walks.,6.99,Pets,Pet Waste Management
238,Fresh Strawberries,"Sweet and juicy strawberries, perfect for desserts.",3.99,Food - Produce,Fruits
239,Blueberry Muffin Mix,Make delightful blueberry muffins at home with this easy mix.,4.29,Food - Baking,Mixes
240,Portable Bluetooth Headphones,Wireless headphones with noise-canceling features.,79.99,Audio,Wireless Audio Accessories
241,Halloween Decoration Set,Fun decorations for Halloween to set a spooky atmosphere.,29.99,Home,Seasonal Home Decor
242,Fresh Cilantro,"Bright and fragrant cilantro, great for garnishes.",1.49,Food - Produce,Herbs & Spices
243,Vegetarian Chili,"Hearty chili made with beans and vegetables, a savory meal option.",3.99,Food - Canned Goods,Soups & Broths
244,Portable Pet Stroller,Convenient stroller for pets to enjoy outdoor walks.,89.99,Pets,Pet Accessories
245,Black Bean Spaghetti,"High-protein pasta made from black beans, gluten-free.",3.99,Food - Pasta,Specialty Pasta
246,Travel Shoe Bags Set,Set of breathable bags for organizing shoes while traveling.,15.99,Travel,Travel Accessories
247,Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,12.99,Food - Frozen Meals,Frozen Dinner Kits
248,Travel Pillow,Memory foam travel pillow for neck support.,22.99,Travel,Travel Accessories
249,Pet Water Fountain with Filtration,"Continuous stream of fresh water for pets, promoting hydration.",39.99,Pets,Pet Supplies
250,Gardening Gloves with Claws,Durable gloves with built-in claws for digging and planting.,24.99,Garden,Garden Tools
251,Reclining Camping Chair,Foldable reclining camping chair with cup holder.,49.99,Outdoor,Camping Equipment
252,Miso Dressing,Flavorful dressing made with miso paste,3.49,Food - Dressings,Dressings
253,Maple Oatmeal,Delicious maple-flavored oatmeal for a quick breakfast.,2.99,Food - Breakfast,Instant Breakfast
